Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY
P33410_1012	4.68459	3.879950000000001	4.30409	3.3855699999999995	3.9280299999999997	3.61517	4.74804	3.6988700000000003	3.5256799999999995	3.97091	3.81698	3.64776	2.37994	1.9906099999999998	3.9385700000000003	3.49094	3.9440600000000003	3.58293	4.11517	4.1243	4.70721	3.6580399999999997	2.48235	0.03564999999999996
P33410_1013	4.40657	3.7952199999999996	4.32475	3.7926900000000003	3.8930999999999996	3.5559899999999995	4.39616	3.4843900000000003	3.54077	3.94881	3.8954900000000006	3.46988	2.65747	1.9095500000000003	3.78033	3.1795999999999998	3.4965900000000003	4.00207	3.2047299999999996	4.047610000000001	4.63742	3.4139599999999994	1.98258	0.03530999999999995
P33410_1014	4.3899799999999995	3.7668800000000005	4.2663	3.8066500000000003	3.9439900000000003	3.60717	4.469740000000001	3.43917	3.4936100000000003	3.8547399999999996	3.8912199999999997	3.48808	2.66602	1.89038	3.8645999999999994	3.1338	3.4726099999999995	4.03753	3.3109599999999997	3.98926	4.6075800000000005	3.37148	1.95771	0.037390000000000034
P33410_1015	4.40972	3.784560000000001	4.29738	3.75995	3.8961699999999997	3.5245100000000003	4.34105	3.4416	3.4526700000000003	3.8712	3.8891600000000004	3.4625000000000004	2.6566	1.9086500000000002	3.8297299999999996	3.1943599999999996	3.4472199999999997	3.8999999999999995	3.2265700000000006	3.93919	4.51957	3.37045	1.9626100000000002	0.0355700000000001
P33410_1016	4.515280000000001	3.6497	4.392399999999999	3.86526	4.10388	3.8911	4.74969	3.2506699999999995	3.7074800000000003	4.12054	4.01553	3.3628099999999996	2.92482	2.08743	4.03707	2.81588	3.0462800000000003	3.91521	3.34666	3.93567	4.52002	3.0918399999999995	1.9344700000000001	0.03482000000000007
P33410_1017	4.25425	3.7909499999999996	4.229	3.7079000000000004	3.81341	3.4711	4.25768	3.3861000000000008	3.39987	3.7922700000000003	3.77449	3.3712400000000002	2.58078	1.88986	3.7204499999999996	3.13347	3.3312600000000003	3.8430299999999997	3.1702399999999997	3.8883899999999993	5.09875	3.32791	3.17563	0.042869999999999964
P33410_1018	4.3136399999999995	3.5774500000000007	4.20998	4.120660000000001	3.80114	3.41625	4.23808	3.39056	3.4208800000000004	3.86852	3.7674200000000004	3.3174799999999998	2.38061	1.8715000000000002	3.6485199999999995	3.0875400000000006	3.4163300000000003	3.8475200000000003	3.1324000000000005	3.87561	4.527950000000001	3.22098	3.8905200000000004	0.04045999999999994
P33410_1019	6.259529999999999	3.36522	2.55289	3.8276199999999996	3.90967	2.17666	6.360939999999999	2.31183	5.025080000000001	3.1529299999999996	5.1930700000000005	3.34575	0.7609300000000001	2.8765199999999997	3.4512099999999997	5.32815	4.08202	2.9395800000000003	4.09239	2.9560899999999997	2.13782	1.99158	1.3221499999999997	0.04448999999999992
P33410_1020	3.7401599999999995	2.9767200000000003	5.285550000000001	6.19688	3.71434	4.37205	3.79547	2.67193	2.6238	4.21721	5.59078	3.9661999999999997	3.51333	1.2759200000000002	4.27444	2.14396	2.99183	4.41228	1.8666800000000001	2.3099999999999996	4.77413	3.3552299999999997	1.0772300000000001	0.042180000000000106
P33410_1021	4.34622	3.76131	4.28106	3.8196199999999996	3.9279600000000006	3.5574199999999996	4.40627	3.4822299999999995	3.4863	3.87528	3.84488	3.48538	2.66227	1.9152400000000003	3.7475799999999992	3.16784	3.41662	3.9974600000000002	3.23827	3.8812700000000007	4.56651	3.27942	1.9816200000000004	0.042219999999999924
P33410_1022	4.4974300000000005	3.78268	4.3523000000000005	3.7029300000000003	3.88842	3.47809	4.40057	3.5334400000000006	3.53233	3.87988	3.9879800000000003	3.46258	2.6182600000000003	1.9069900000000004	3.9039699999999993	3.27998	3.572189999999999	4.00562	3.3602099999999995	4.05199	4.7544900000000005	3.4970800000000004	1.98408	0.03381999999999996
P33410_1024	4.31733	3.73545	4.63141	4.15621	3.9463599999999994	3.7284300000000004	4.44777	3.0559700000000003	3.63567	3.77126	3.7892799999999998	3.3358499999999998	2.57777	1.95777	3.9312300000000002	3.2043800000000005	3.711309999999999	4.05476	3.01788	4.10791	4.51465	3.22189	2.4467	0.024410000000000043
